Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","U.FL-R-SMT-1","U.FL-R-SMT-1",134.010000,-78.335000,0.000000,top
"C1","6nF","C_0805_2012Metric",113.741200,-83.464400,180.000000,top
"C9","2.2uF","C_0603_1608Metric",142.138400,-85.255400,90.000000,top
"C15","100nF","C_0603_1608Metric",145.047000,-93.014800,180.000000,top
"C17","100nF","C_0603_1608Metric",141.554200,-82.677000,0.000000,top
"C18","4.7uF","C_0603_1608Metric",142.087600,-93.802200,90.000000,top
"C28","0.1uF","C_0402_1005Metric",112.420400,-87.960200,90.000000,top
"C29","0.1uF","C_0402_1005Metric",116.001800,-94.005400,0.000000,top
"C30","22pF","C_0402_1005Metric",112.933800,-85.727600,90.000000,top
"C31","22pF","C_0402_1005Metric",118.217000,-85.750400,90.000000,top
"C32","100nF","C_0603_1608Metric",138.239200,-82.677000,0.000000,top
"C33","1.6pF","C_0402_1005Metric",134.495600,-81.000000,0.000000,top
"C34","2.2uF","C_0603_1608Metric",123.266200,-91.729600,-90.000000,top
"C35","1.6pF","C_0402_1005Metric",134.495600,-83.515200,0.000000,top
"C36","2.2uF","C_0603_1608Metric",121.132600,-91.729600,-90.000000,top
"C37","100nF","C_0603_1608Metric",125.145800,-94.335600,-90.000000,top
"C39","2.2uF","C_0603_1608Metric",121.132600,-87.919600,-90.000000,top
"C40","100nF","C_0603_1608Metric",123.266200,-87.919600,-90.000000,top
"C41","10nF","C_0402_1005Metric",123.113800,-93.954600,180.000000,top
"C42","100nF","C_0603_1608Metric",138.277600,-84.505800,0.000000,top
"C43","18pF","C_0201_0603Metric",137.693400,-89.306400,90.000000,top
"C45","18pF","C_0201_0603Metric",143.586200,-89.357200,-90.000000,top
"D1","PMEG6010CEJ","D_SOD-323F",112.420400,-80.322600,-90.000000,top
"D2","PMEG6010CEJ","D_SOD-323F",114.554000,-80.322600,-90.000000,top
"D3","PMEG6010CEJ","D_SOD-323F",117.416400,-83.464400,180.000000,top
"D4","PMEG6010CEJ","D_SOD-323F",120.896200,-82.727800,180.000000,top
"D5","PMEG6010CEJ","D_SOD-323F",118.262400,-101.244400,0.000000,top
"D8","LED","LED_0603_1608Metric",121.107200,-98.780600,90.000000,top
"D9","LED","LED_0603_1608Metric",124.993400,-89.636700,-90.000000,top
"J1","6130XX11121_61300611121","61300611121",109.524800,-89.763600,90.000000,top
"J2","6130XX11121_61300611121","61300611121",121.970800,-104.013000,0.000000,top
"J3","530470210","CON_530470210_MOL",119.837200,-77.800200,0.000000,top
"J4","530470210","CON_530470210_MOL",128.117600,-77.749400,0.000000,top
"J10","F32R-1A7H1-11024","AMPHENOL_F32R-1A7H1-11024",148.837500,-94.716600,-90.000000,top
"J42","UJ31-CH-G2-SMT-TR","CUI_UJ31-CH-G2-SMT-TR",133.178400,-98.393000,0.000000,top
"L1","2nH","L_0201_0603Metric",134.010000,-82.260000,90.000000,top
"R2","0","R_0402_1005Metric",127.330200,-81.991200,180.000000,top
"R3","0","R_0402_1005Metric",128.879600,-82.499200,90.000000,top
"R6","0","R_0402_1005Metric",140.180600,-94.818200,0.000000,top
"R7","4.7k","R_0402_1005Metric",137.869200,-93.624400,180.000000,top
"R8","0k","R_0805_2012Metric",127.920000,-95.680000,180.000000,top
"R9","4.7k","R_0402_1005Metric",137.871200,-94.792800,0.000000,top
"R10","10k","R_0805_2012Metric",145.186400,-95.123000,180.000000,top
"R11","10k","R_0402_1005Metric",123.342400,-85.066600,-90.000000,top
"R12","10k","R_0402_1005Metric",119.380000,-86.969600,-90.000000,top
"R13","10k","C_0402_1005Metric",143.078200,-98.348800,-90.000000,top
"R14","10k","C_0402_1005Metric",145.389600,-81.965800,0.000000,top
"R15","1k","R_0402_1005Metric",125.347000,-92.202000,0.000000,top
"R16","10k","R_0402_1005Metric",112.953800,-96.570800,-90.000000,top
"R17","10k","R_0402_1005Metric",112.953800,-94.437200,-90.000000,top
"R18","10k","R_0402_1005Metric",118.414800,-94.005400,180.000000,top
"R19","0","R_0402_1005Metric",130.530600,-82.245200,90.000000,top
"R20","0","R_0402_1005Metric",125.704600,-82.473800,90.000000,top
"R21","5.1K","R_0402_1005Metric",129.233200,-99.314000,180.000000,top
"R22","0","R_0402_1005Metric",113.383600,-98.272600,180.000000,top
"R23","1k","R_0402_1005Metric",119.583200,-98.604800,90.000000,top
"R26","5.1K","R_0402_1005Metric",129.233200,-97.967800,180.000000,top
"R31","499","R_0402_1005Metric",137.871200,-92.456000,0.000000,top
"SW1","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",148.742400,-78.409800,90.000000,top
"SW3","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",144.686599,-102.753599,90.000000,top
"U8","BNO055","LGA28R50P4X10_380X520X100",116.150200,-90.231200,0.000000,top
"U9","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",131.387500,-88.248800,-90.000000,top
"Y1","ABS07-32.768KHZ-7-T","XTAL_ABS07-32.768KHZ-7-T",115.570000,-85.928200,180.000000,top
"Y2","ABM8G-40.000MHZ-18-D2Y-T","CRYSTAL_ABM8G_ABR",140.508800,-89.349400,-90.000000,top
