"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C32,C42,C14,C38,C44,C40,C37,C17,C15";"C_0603_1608Metric";9;"100nF";;;
2;"J2,J1";"61300611121";2;"6130XX11121_61300611121";;;
3;"C12,C9,C39,C36,C34";"C_0603_1608Metric";5;"2.2uF";;;
4;"U2";"SOP8_208MIL_GDV";1;"GD25Q64CSIGR";;;
5;"R13,R14";"C_0402_1005Metric";2;"10k";;;
6;"C31,C30";"C_0402_1005Metric";2;"22pF";;;
7;"TP3,TP5";"PinHeader_1x01_P1.00mm_Vertical";2;"TestPoint";;;
8;"D8,D13,D9";"LED_0603_1608Metric";3;"LED";;;
9;"R6,R22,R3,R20,R2,R19";"R_0402_1005Metric";6;"0";;;
10;"J10";"AMPHENOL_F32R-1A7H1-11024";1;"F32R-1A7H1-11024";;;
11;"D2,D3,D1,D5,D6,D4,D11,D10";"D_SOD-323F";8;"PMEG6010CEJ";;;
12;"R7,R9";"R_0402_1005Metric";2;"4.7k";;;
13;"R25,R23,R15";"R_0402_1005Metric";3;"1k";;;
14;"L2";"L_0402_1005Metric";1;"2nH";;;
15;"R8";"R_0805_2012Metric";1;"0k";;;
16;"C29,C28";"C_0402_1005Metric";2;"0.1uF";;;
17;"TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL1";;;
18;"J3,J4";"CON_530470210_MOL";2;"530470210";;;
19;"C2";"C_0402_1005Metric";1;"10uF";;;
20;"R31";"R_0402_1005Metric";1;"499";;;
21;"TP2";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"COIL2";;;
22;"R18,R16,R17,R5,R12,R11";"R_0402_1005Metric";6;"10k";;;
23;"U8";"LGA28R50P4X10_380X520X100";1;"BNO055";;;
24;"J6";"AMPHENOL_10118194-0001LF";1;"10118194-0001LF";;;
25;"Y1";"XTAL_ABS07-32.768KHZ-7-T";1;"ABS07-32.768KHZ-7-T";;;
26;"C1";"C_0805_2012Metric";1;"6nF";;;
27;"SW3,SW1";"SW4_PTS815 SJM 250 SMTR LFS_CNK";2;"PTS815 SJM 250 SMTR LFS";;;
28;"C16,C27,C7,C21,C11,C8,C4,C26,C22,C3";"C_0603_1608Metric";10;"1uF";;;
29;"C43,C45";"C_0201_0603Metric";2;"18pF";;;
30;"ANT1";"U.FL-R-SMT-1";1;"U.FL-R-SMT-1";;;
31;"F1";"FUS_NANO_TYCO_TYC";1;"NANOSMDC110F-2";;;
32;"C24,C20,C25,C10,C19,C13";"C_0603_1608Metric";6;"10uF";;;
33;"FB1";"C_0805_2012Metric";1;"120R-3A";;;
34;"U3,U1";"SOT-23-5";2;"MCP73812T-420I-OT";;;
35;"U7";"DBV0005A_N";1;"TLV75528PDBVR";;;
36;"D7";"D_SMA";1;"B140-E3";;;
37;"U4";"SOT-223_DIO";1;"AZ1117CH-3.3TRG1";;;
38;"R4,R1";"R_0402_1005Metric";2;"2k";;;
39;"C41";"C_0402_1005Metric";1;"10nF";;;
40;"C18";"C_0603_1608Metric";1;"4.7uF";;;
41;"R10";"R_0805_2012Metric";1;"10k";;;
42;"L1";"L_0201_0603Metric";1;"2nH";;;
43;"Y2";"CRYSTAL_ABM8G_ABR";1;"ABM8G-40.000MHZ-18-D2Y-T";;;
44;"C35,C33";"C_0402_1005Metric";2;"1.6pF";;;
45;"U5";"SOT-23-5";1;"MIC5504-1.8YM5";;;
46;"U9";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"ESP32-S3";;;
