"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C9,C14","4","4.7u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C6,C7,C8,C11,C13","7","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C12,C15","3","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2,D3,D4","4","D_TVS","","","","Diode_SMD:D_SOD-523","~"
"D5","1","D_TVS","","","","Diode_SMD:D_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"D6,D7","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1,J2,J4,J5,J6,J7","6","Conn_01x02_Pin","","","","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","~"
"J3,J10","2","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J8,J9","2","Conn_01x04","","","","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","~"
"J11","1","Conn_02x12_Odd_Even","","","","Connector_PinSocket_1.00mm:PinSocket_2x12_P1.00mm_Vertical_SMD","~"
"R1","1","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3,R4,R5,R12,R13","6","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7,R9,R10","4","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","260","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P","~"
"U1","1","ESP32-S3-WROOM-1-N16R8","","","","ESP32-S3-WROOM-1-N16R8:ESP32-S3-WROOM-1_EXP","ESP32-S3-WROOM-1-N16R8"
"U2","1","FT231XQ","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf"
"U3","1","TPS2116DRL","","","","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps2116.pdf"
"U4","1","TCR2EF33_LMCT","","","","TCR2EF33_LM_CT:SOT-25   SMV_TOS","TCR2EF33_LMCT"
"U5","1","TB6612FNG","","","","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html"
